strategy_id,regime,bars,trades,pf,wr,net,profitable
FISHER_05,RANGING,416,89,1.562,74.16,64.57,True
FISHER_05,HIGH_VOL,120,34,4.8376,88.24,72.76,True
FISHER_05,LOW_VOL,23,0,0.0,0.0,0.0,False
FISHER_01,TRENDING_UP,177,52,3.9239,80.77,81.24,True
FISHER_01,TRENDING_DOWN,358,99,8.0085,86.87,324.98,True
FISHER_01,RANGING,416,89,1.562,74.16,64.57,True
FISHER_01,HIGH_VOL,120,34,4.8376,88.24,72.76,True
FISHER_01,LOW_VOL,23,0,0.0,0.0,0.0,False
VTX_03,TRENDING_UP,177,18,178.2732,88.89,61.44,True
VTX_03,TRENDING_DOWN,358,32,143.2817,90.62,115.36,True
VTX_03,RANGING,416,46,3.2532,82.61,73.09,True
VTX_03,HIGH_VOL,120,9,34.4258,77.78,20.08,True
VTX_03,LOW_VOL,23,0,0.0,0.0,0.0,False
ENV_01,TRENDING_UP,177,9,138.9632,88.89,21.38,True
ENV_01,TRENDING_DOWN,358,23,3.2252,86.96,57.0,True
ENV_01,RANGING,416,22,5.7635,86.36,59.06,True
ENV_01,HIGH_VOL,120,8,1.5379,87.5,12.08,True
ENV_01,LOW_VOL,23,0,0.0,0.0,0.0,False
ULT_03,TRENDING_UP,177,32,2.4613,81.25,42.34,True
ULT_03,TRENDING_DOWN,358,64,5.3033,85.94,195.89,True
ULT_03,RANGING,416,47,1.7478,78.72,47.88,True
ULT_03,HIGH_VOL,120,26,181.3523,92.31,72.95,True
ULT_03,LOW_VOL,23,0,0.0,0.0,0.0,False
ULT_02,TRENDING_UP,177,32,2.4613,81.25,42.34,True
ULT_02,TRENDING_DOWN,358,64,5.3033,85.94,195.89,True
ULT_02,RANGING,416,47,1.7478,78.72,47.88,True
ULT_02,HIGH_VOL,120,26,181.3523,92.31,72.95,True
ULT_02,LOW_VOL,23,0,0.0,0.0,0.0,False
SM_09,TRENDING_UP,177,0,0.0,0.0,0.0,False
SM_09,TRENDING_DOWN,358,1,999.0,100.0,2.46,True
SM_09,RANGING,416,4,2.2961,50.0,1.02,True
SM_09,HIGH_VOL,120,3,21.074,66.67,2.28,True
SM_09,LOW_VOL,23,0,0.0,0.0,0.0,False
WR_02,TRENDING_UP,177,19,1.0775,78.95,1.95,True
WR_02,TRENDING_DOWN,358,45,1.895,80.0,55.4,True
WR_02,RANGING,416,65,9.0379,76.92,117.52,True
WR_02,HIGH_VOL,120,19,3.2769,89.47,51.5,True
WR_02,LOW_VOL,23,0,0.0,0.0,0.0,False
SM_07,TRENDING_UP,177,5,999.0,100.0,8.68,True
SM_07,TRENDING_DOWN,358,5,999.0,100.0,17.4,True
SM_07,RANGING,416,5,999.0,100.0,14.36,True
SM_07,HIGH_VOL,120,3,999.0,100.0,4.25,True
SM_07,LOW_VOL,23,0,0.0,0.0,0.0,False
MACD_10,TRENDING_UP,177,15,4.4603,93.33,44.79,True
MACD_10,TRENDING_DOWN,358,30,4.6999,90.0,71.01,True
MACD_10,RANGING,416,36,1.6732,66.67,27.0,True
MACD_10,HIGH_VOL,120,9,36.0457,66.67,26.66,True
MACD_10,LOW_VOL,23,0,0.0,0.0,0.0,False
BB_02,TRENDING_UP,177,9,999.0,100.0,29.85,True
BB_02,TRENDING_DOWN,358,19,4.1191,89.47,76.96,True
BB_02,RANGING,416,31,2.6419,74.19,46.31,True
BB_02,HIGH_VOL,120,3,0.4593,66.67,-12.15,False
BB_02,LOW_VOL,23,0,0.0,0.0,0.0,False
AD_03,TRENDING_UP,177,0,0.0,0.0,0.0,False
AD_03,TRENDING_DOWN,358,1,999.0,100.0,9.76,True
AD_03,RANGING,416,4,999.0,100.0,3.56,True
AD_03,HIGH_VOL,120,2,999.0,100.0,9.4,True
AD_03,LOW_VOL,23,0,0.0,0.0,0.0,False
TSI_05,TRENDING_UP,177,17,1.8285,88.24,24.68,True
TSI_05,TRENDING_DOWN,358,25,10.8024,88.0,69.03,True
TSI_05,RANGING,416,39,0.9655,64.1,-2.81,False
TSI_05,HIGH_VOL,120,8,87.3155,87.5,27.96,True
TSI_05,LOW_VOL,23,0,0.0,0.0,0.0,False
MA_08,TRENDING_UP,177,3,0.3454,66.67,-6.92,False
MA_08,TRENDING_DOWN,358,19,4.7759,63.16,46.1,True
MA_08,RANGING,416,26,3.524,69.23,47.79,True
MA_08,HIGH_VOL,120,5,0.651,80.0,-7.35,False
MA_08,LOW_VOL,23,0,0.0,0.0,0.0,False
WYC_06,TRENDING_UP,177,2,999.0,100.0,18.61,True
WYC_06,TRENDING_DOWN,358,4,999.0,100.0,8.31,True
WYC_06,RANGING,416,4,0.2017,75.0,-21.98,False
WYC_06,HIGH_VOL,120,1,999.0,100.0,1.34,True
WYC_06,LOW_VOL,23,0,0.0,0.0,0.0,False
