strategy_id,regime,bars,trades,pf,wr,net,profitable
KST_01,TRENDING_UP,177,10,3.3187,90.0,15.48,True
KST_01,TRENDING_DOWN,358,24,1.7466,83.33,48.4,True
KST_01,RANGING,416,27,2.3006,88.89,31.34,True
KST_01,HIGH_VOL,120,8,1.1258,87.5,2.23,True
KST_01,LOW_VOL,23,0,0.0,0.0,0.0,False
CP_07,TRENDING_UP,177,3,999.0,100.0,8.07,True
CP_07,TRENDING_DOWN,358,8,1.9401,87.5,10.97,True
CP_07,RANGING,416,6,0.8055,66.67,-4.42,False
CP_07,HIGH_VOL,120,8,999.0,100.0,21.65,True
CP_07,LOW_VOL,23,0,0.0,0.0,0.0,False
MA_08,TRENDING_UP,177,4,1.8076,75.0,5.63,True
MA_08,TRENDING_DOWN,358,18,1.342,72.22,16.36,True
MA_08,RANGING,416,32,1.9247,75.0,51.92,True
MA_08,HIGH_VOL,120,6,1.2324,83.33,2.87,True
MA_08,LOW_VOL,23,0,0.0,0.0,0.0,False
FISHER_05,TRENDING_UP,177,47,1.8548,65.96,55.35,True
FISHER_05,TRENDING_DOWN,358,99,1.0199,46.46,4.31,True
FISHER_05,RANGING,416,99,1.7743,62.63,106.79,True
FISHER_05,HIGH_VOL,120,37,1.0028,48.65,0.23,True
FISHER_05,LOW_VOL,23,0,0.0,0.0,0.0,False
FISHER_01,TRENDING_UP,177,47,1.8548,65.96,55.35,True
FISHER_01,TRENDING_DOWN,358,99,1.0199,46.46,4.31,True
FISHER_01,RANGING,416,99,1.7743,62.63,106.79,True
FISHER_01,HIGH_VOL,120,37,1.0028,48.65,0.23,True
FISHER_01,LOW_VOL,23,0,0.0,0.0,0.0,False
FISHER_03,TRENDING_UP,177,47,1.8548,65.96,55.35,True
FISHER_03,TRENDING_DOWN,358,99,1.0199,46.46,4.31,True
FISHER_03,RANGING,416,99,1.7743,62.63,106.79,True
FISHER_03,HIGH_VOL,120,37,1.0028,48.65,0.23,True
FISHER_03,LOW_VOL,23,0,0.0,0.0,0.0,False
ENV_01,TRENDING_UP,177,8,1.2591,75.0,4.3,True
ENV_01,TRENDING_DOWN,358,15,1.394,73.33,15.7,True
ENV_01,RANGING,416,40,1.1853,75.0,20.77,True
ENV_01,HIGH_VOL,120,14,3.251,92.86,39.98,True
ENV_01,LOW_VOL,23,0,0.0,0.0,0.0,False
DON_03,TRENDING_UP,177,41,1.3797,48.78,26.41,True
DON_03,TRENDING_DOWN,358,78,1.9974,48.72,132.15,True
DON_03,RANGING,416,80,1.5126,52.5,64.32,True
DON_03,HIGH_VOL,120,34,1.0033,26.47,0.27,True
DON_03,LOW_VOL,23,0,0.0,0.0,0.0,False
BB_02,TRENDING_UP,177,17,1.5071,58.82,16.55,True
BB_02,TRENDING_DOWN,358,43,1.3181,51.16,28.58,True
BB_02,RANGING,416,56,1.6439,64.29,52.0,True
BB_02,HIGH_VOL,120,13,2.0895,46.15,30.44,True
BB_02,LOW_VOL,23,0,0.0,0.0,0.0,False
KC_03,TRENDING_UP,177,15,1.6134,80.0,11.12,True
KC_03,TRENDING_DOWN,358,16,0.776,62.5,-8.25,False
KC_03,RANGING,416,46,1.5309,78.26,29.07,True
KC_03,HIGH_VOL,120,6,0.8355,50.0,-3.03,False
KC_03,LOW_VOL,23,0,0.0,0.0,0.0,False
KC_01,TRENDING_UP,177,15,1.6134,80.0,11.12,True
KC_01,TRENDING_DOWN,358,16,0.776,62.5,-8.25,False
KC_01,RANGING,416,46,1.5309,78.26,29.07,True
KC_01,HIGH_VOL,120,6,0.8355,50.0,-3.03,False
KC_01,LOW_VOL,23,0,0.0,0.0,0.0,False
KC_02,TRENDING_UP,177,15,1.6134,80.0,11.12,True
KC_02,TRENDING_DOWN,358,16,0.776,62.5,-8.25,False
KC_02,RANGING,416,46,1.5309,78.26,29.07,True
KC_02,HIGH_VOL,120,6,0.8355,50.0,-3.03,False
KC_02,LOW_VOL,23,0,0.0,0.0,0.0,False
MS_07,TRENDING_UP,177,5,999.0,100.0,11.66,True
MS_07,TRENDING_DOWN,358,10,0.6051,70.0,-18.41,False
MS_07,RANGING,416,13,1.5591,76.92,8.02,True
MS_07,HIGH_VOL,120,3,999.0,100.0,19.89,True
MS_07,LOW_VOL,23,0,0.0,0.0,0.0,False
SM_09,TRENDING_UP,177,0,0.0,0.0,0.0,False
SM_09,TRENDING_DOWN,358,1,999.0,100.0,2.8,True
SM_09,RANGING,416,4,0.9392,75.0,-0.32,False
SM_09,HIGH_VOL,120,3,999.0,100.0,4.71,True
SM_09,LOW_VOL,23,0,0.0,0.0,0.0,False
REG_05,TRENDING_UP,177,6,0.3988,50.0,-13.43,False
REG_05,TRENDING_DOWN,358,20,1.59,80.0,25.27,True
REG_05,RANGING,416,24,0.792,70.83,-12.43,False
REG_05,HIGH_VOL,120,6,999.0,100.0,31.9,True
REG_05,LOW_VOL,23,0,0.0,0.0,0.0,False
OBV_02,TRENDING_UP,177,3,0.9051,66.67,-0.67,False
OBV_02,TRENDING_DOWN,358,11,0.328,54.55,-31.39,False
OBV_02,RANGING,416,19,2.7355,84.21,48.91,True
OBV_02,HIGH_VOL,120,5,0.4658,60.0,-16.37,False
OBV_02,LOW_VOL,23,0,0.0,0.0,0.0,False
